TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
Alien 2 Le Retour (Aliens);Science Fiction;Frisson;James Cameron;USA;Sigourney Weaver - Carrie Henn;;;DVD;2;1986;Fr-Ang;Saga Alien;;;;;;;;;;
Alien 3 ;Science Fiction;Frisson;David Fincher;USA;Sigourney Weaver;;;DVD;2;1992;Fr-Ang;Saga Alien;;;;;;;;;;
Alien 4 Résurrection;Science Fiction;Frisson;Jean Pierre Jeunet;USA;Sigourney Weaver - Winona Ryder;;;DVD;2;1997;Fr-Ang;Saga Alien;;;;;;;;;;
Alien Covenant;Science Fiction;Frisson;Ridley Scott;USA-GB;Michael Fassbender - Katherine Waterston - Billy Crudup - Danny McBride - Demian Bichir;;;DVD;2;2017;Fr-Ang;Saga Alien;;;;;;;;;;
Alien Vs Predator 1;Science Fiction;Frisson;Paul WS Anderson;USA;Sanaa Lathan - Raoul Bova - Lance Henriksen;;;DVD;1;2004;Fr-Ang-Esp;Saga Alien;;;;;;;;;;
Alien Vs Predator 2 Requiem;Science Fiction;Frisson;Colin Strause - Greg Strause;USA;Steven Pasquale - Reiko Aylesworth - John Ortiz - Robert Joy;;;DVD;1;2008;Fr-Ang-Esp;Saga Alien;;;;;;;;;;
Alita;Science Fiction;Aventures;Robert Rodriguez;USA-ARG-ITL;Rosa Salazar - Christophe Waltz - Jennifer Connelly - Mahershala Ali - Ed Skrein;;;DVD;2;2019;Fr-Ang;;;;;;;;;;;
Alvin & les Chipmunks;Jeunesse;Com. Musicale;Mike Mitchell;USA;Jason Lee - David Cross;;;DVD;1;2007;Fr-Ang-Esp;;;;;;;;;;;
Amadeus;Drame;Historique;Milos Forman;USA;F. Murray Abraham - Tom Hulce - Elisabeth Berridge - Simon Callow;;;DVD;;1984;Fr-Ang-Itl;;;;;;;;;;;
American Graffiti;Comedie;Drame;Francis Ford Coppola;USA;Ron Howard - Richard Dreyfuss - Harrison Ford;;;DVD;;1973;Fr-Ang-All-Itl-Esp;;;;;;;;;;;
Amistad;Drame;Historique;Steven Spielberg;USA;Norman Freeman - Anthony Hopkins;;;DVD;2;1997;Fr-Itl;;;;;;;;;;;
Anastasia;Jeunesse;Dessins Animés;;USA;;;;DVD;1;1997;Fr-Ang-Esp;;;;;;;;;;;
Anges & Démons;Policier;Thriller;Ron Howard;USA;Tom Hanks - Ewan McGregor;;;DVD;2;2009;Fr-Ang;Saga Da Vinci Code 2;;;;;;;;;;
Apocalypse 1 La 1ere Guerre Mondiale (5 épisodes de 52 mn);Documentaire;1er Guerre Mond.;Isabelle Clarke - Daniel Costello;France;;;;DVD;2;2014;Fr-Ang;Série Apocalypse ;;;;;;;;;;
Apocalypse 2 Hitler (2 épisodes de 50 mn);Documentaire;Histoire;Isabelle Clarke - Daniel Costello;France;Mathieu Kassovitz;;;DVD;2;2011;Fr;Série Apocalypse ;;;;;;;;;;
Apocalypse 3 La 2eme Guerre Mondiale (6 épisodes de 50 mn);Documentaire;2e Guerre Mond.;Isabelle Clarke - Daniel Costello;France;;;;DVD;2;2009;Fr-Ang;Série Apocalypse ;;;;;;;;;;
Apocalypse 4 Staline (3 épisodes);Documentaire;Histoire;Isabelle Clarke - Daniel Costello;France;;;;DVD;2;2015;Fr-Ang;Série Apocalypse;;;;;;;;;;
